prompt	completion
What is Kalicube Pro and how can it help me?	"Kalicube is the only SaaS platform built to understand how Google "learns". Kalicube Pro contains almost a Billion datapoints. Kalicube Pro is now scaling up for agencies. Kalicube Pro knows how to communicate with Google's Knowledge Algorithms
When Kalicube acts as an agency for clients, our aim is to bring value, with useful and achievable action points. After 25 years studying Google, Jason Barnard can explain how you can leverage the information it provides about you to better manage your digital marketing strategy. Fun !

The Kalicube Process makes it easy it is for you to teach Google about yourself and your business - and demonstrate your authority and credibility - and thus become THE authority in your niche. 

The first step is owning page #1 of the Google search result for for your own name... the rest is a delightful story :)

Why trust Kalicube.? Because it was built by Jason Barnard. Jason Barnard teaches Google. He has 25 years of experience since he started online in 1998 (the year Google was incorporated) with a website for kids based on the characters Boowa & Kwala that he built up to become one of the 10,000 most visited sites in the world - in 2007, 5 million children visited the site every month!"
Summary of the lesson: Introduction (Brand SERPs Foundation Course)	"A good Brand SERP is good for your bottom line. A GREAT Brand SERP is GREAT for your bottom line.

– Jason Barnard (The Brand SERP Guy)
In this lesson you’ll learn that you don’t have to be an expert to design your “Google Business Card” to look attractive and convincing (and you’ll understand how this course delivers on that promise 🙂 Importantly, nothing in this course is too technical or too difficult for any marketer to implement. If you carefully follow the steps Jason provides in this course, your Brand SERP will look a little better in just a few hours and MUCH better in a week or two.

This course also covers the most accessible tips, tricks, and techniques you need for quickly and simply optimising your Brand SERP. You’ll learn what you can do to optimise each aspect of your Brand SERP in every situation. The foundation course in the Brand SERP series will teach you the techniques, tactics, and strategies you can use to make your Brand SERP positive, attractive, and compelling to your bottom-of-funnel audience.

And there a lots and lots of additional resources you can use! Every lesson in this course contains a video where Jason explains what you need to do… but you’ll also get access to additional information and help: links to hand-curated external resources, additional videos and articles. Be sure to check these out so you can get the most out of each lesson and avoid missing opportunities or making foolish mistakes."
How Can Aram Store Trigger Rich Elements for Their Short Left Rail?	"For bricks and mortar stores, their Google Business Profile is crucial when it comes to customer needs because it’s the first thing they see when they search the company name.

On the other hand, Rich Elements on the left rail of the Brand SERP gives an overview of whether your business is active or not, how your audience interacts with you, and how you deliver your service.

On Aram Store’s Brand SERP, the Right Rail is much longer than the Left Rail. They manage their GBP well, but since it’s a local furniture store, I thought they might add some SERP Features like Image Boxes and Video Boxes to even up the lengths of the left and right rails… and also make their Brand SERP even more attractive to prospective clients.

The Twitter profile which can become Twitter Boxes is also a groovy option but it still needs a little more push to climb up the first page

Watch until the end!

Kalicube’s #DailyBrandSERP  December 18th 2021 presented by the Brand SERP Guy, Jason Barnard.

Transcript:
Hi and welcome, I’m Jason Barnard. I’m the Brand SERP Guy and today, we’re looking at the Brand SERP for Aram Store, which is a furniture store in the UK in London.

Now, if you look over here on the left-hand side, we’ve got these Vertical Rich Sitelinks in the UK now, which is pretty cool. I’m starting to like them more and more.

And as we scroll down, we see Facebook, Instagram, and LinkedIn. And that will come into play in a moment because if we look on the right-hand side, they’ve got an absolutely beautiful Google Business Profile, lots of reviews, they’ve added their products, they’ve got questions & answers, they’ve got more reviews, they’ve got texts from their own store, plus some products and their social profiles. And it’s actually longer than the left-hand rail.

Now, why am I pointing that out? It’s because they’re doing a really great job on their Google Business Profile and there aren’t any Rich Elements on the left-hand side, and they could potentially given that they’re a furniture store have Image Boxes or perhaps Video Boxes.

I couldn’t find a YouTube channel, but I do see they’re quite active on Instagram and Facebook. And then if I look over on to page two, we can see that Twitter here is hovering on the brink of coming on to that first page with the potential for Twitter boxes if they can push it up to the top of the first page, get it active, get people engaging.

And they could fill this left-hand rail with more rich information, Images, Videos, Twitter Boxes, to match up to that amazing right-hand side that they’ve got already.

Thank you very much and I’ll see you soon."
Starting as a Musician in a Punk Folk Group, Jason Barnard’s Life Is About Doing What He Loves and Making the World a Slightly Better Place	"The way you put it sounds like a really interesting story. And we can add to that now and say, I’m now in Oxford using Oxford University libraries to write and research a book. And a lot of my life has just been about what’s a fun idea? And I don’t need to be at Oxford, I don’t need to use the libraries, but it’s a lot of fun and it makes me feel slightly more intelligent, as I said earlier on. And the whole process of my life has been what do I really want to do? What do I feel would be nourishing for me as a human being? And what would make the world a slightly better place? 

[00:02:59] The Brand SERP Guy (Jason Barnard): And playing in a punk folk group, obviously punk folk is quite aggressive, but it made a lot of people happy. We ended up with quite big crowds. We’d get 2-500 people. And making people happy, having a good time at a gig was really, really, really positive for me, and I enjoyed it immensely. And then being a blue dog in a cartoon was for small children. So, it was all about educating small children between the ages of 3 and 6, teaching them about the world through the eyes and the actions of a blue dog and a yellow koala in a cartoon."
